id_producto,nombre_producto,precio_venta,costo
201,BOYA Lavalier Microfono,25000,15000
202,BOYA Shotgun Profesional,48000,30000
203,Niimbot D11 Impresora Etiquetas,45000,28000
204,Gimbal ZHIYUN V2,210000,130000
205,Grabadora Zoom H1,120000,75000
206,Eje X Ender 3 Reforzado,15000,9000
207,Autel Scanner Maxi,180000,120000
208,Intercomunicador VHF,35000,20000
209,Mouse Logitech G203 Negro,23000,14000
210,Teclado Mecanico Redragon K552,55000,30000
211,Boya Mini Lavalier!!!,18000,10000
212,   GIMBAL    ZHIYUN   Smooth 5 ,250000,160000
213,Impresora etiquetas niimbot b21,70000,50000
214,Grabadora Zoom H4N Pro,260000,170000
215,Estabilizador 3 Ejes Celular,90000,65000
216,Eje Y Ender 3,12000,15000
217,Scanner Automotriz Bluetooth,95000,105000
218,Producto sin nombre,,5000
219,Boya Inalambrica 2.4Ghz,85000,50000
220,Autel EVO Drone,300000,200000
221,Fjeas Eje Z Ender 3,18000,12000
222,Niimbot D110 Impresora,45000,30000
223,Mouse Logitech G203 Gaming Negro,23000,23000
224,   teclado REDRAGON k530 RGB!!! ,60000,35000
225,Camara Web Logitech C920 HD,90000,70000